,LR=0.01,LR=0.05,LR=0.1,LR=0.2
NE=25,0.6350742447516641,0.6956477214541731,0.7115719406041987,0.7213517665130568
NE=50,0.6636968766001023,0.7212493599590374,0.7210957501280082,0.7278033794162825
NE=100,0.6956477214541731,0.724321556579621,0.7147977470558116,0.711674347158218
NE=200,0.7179723502304147,0.7275985663082436,0.7244751664106504,0.7019969278033795
NE=400,0.727547363031234,0.7180747567844341,0.708294930875576,0.6955965181771633
NE=800,0.740399385560676,0.7083461341525857,0.6987711213517664,0.6988223246287761
NE=1600,0.7277009728622631,0.6923707117255504,0.6891449052739376,0.6988223246287761
NE=3200,0.7147465437788019,0.6955965181771633,0.6891449052739376,0.6988223246287761
