,LR=0.01,LR=0.05,LR=0.1,LR=0.2
NE=25,0.673015873015873,0.6924219150025602,0.7019457245263696,0.7051715309779825
NE=50,0.6858166922683051,0.7019457245263696,0.7115207373271889,0.7051715309779826
NE=100,0.6890937019969277,0.7148489503328213,0.7019457245263696,0.7083973374295954
NE=200,0.6923707117255505,0.7180235535074244,0.6955453149001535,0.6987199180747568
NE=400,0.7116231438812083,0.7019457245263696,0.6987199180747568,0.6922683051715309
NE=800,0.7147465437788018,0.6955453149001536,0.6922683051715309,0.6954941116231438
NE=1600,0.7018945212493598,0.7082949308755759,0.6987711213517664,0.6922171018945211
NE=3200,0.7018433179723502,0.7051203277009728,0.6858678955453149,0.6858166922683051
