,LR=0.01,LR=0.05,LR=0.1,LR=0.2
NE=25,0.7244751664106502,0.7149513568868407,0.7243727598566309,0.717921146953405
NE=50,0.7309779825908859,0.72452636968766,0.7308755760368664,0.7180235535074244
NE=100,0.7150025601638504,0.718125960061444,0.7275985663082436,0.7052739375320021
NE=200,0.7245775729646697,0.7211981566820277,0.7307731694828469,0.6988223246287761
NE=400,0.7245263696876599,0.7212493599590373,0.7244239631336405,0.7019969278033795
NE=800,0.7212493599590373,0.7148489503328213,0.7148489503328213,0.7019969278033795
NE=1600,0.7211981566820275,0.7084485407066052,0.7148489503328213,0.7019969278033795
NE=3200,0.7180747567844341,0.7116231438812084,0.7148489503328213,0.7019969278033795
