,LR=0.01,LR=0.05,LR=0.1,LR=0.2
NE=25,0.5871991807475678,0.6891449052739376,0.7115719406041986,0.6858166922683051
NE=50,0.6317972350230414,0.7115719406041986,0.6890937019969278,0.689247311827957
NE=100,0.6668714797747055,0.6858166922683051,0.6890937019969277,0.6763440860215053
NE=200,0.7020481310803891,0.6730670762928828,0.6795698924731182,0.6796210957501281
NE=400,0.6955453149001537,0.6604198668714798,0.6827956989247312,0.6828469022017409
NE=800,0.6858678955453148,0.6668714797747055,0.689247311827957,0.6795698924731182
NE=1600,0.6859703020993344,0.6732206861239118,0.6860727086533538,0.679621095750128
NE=3200,0.6764464925755247,0.6732206861239118,0.6860727086533538,0.679621095750128
