,LR=0.01,LR=0.05,LR=0.1,LR=0.2
NE=25,0.6634408602150537,0.6604198668714798,0.6733742959549411,0.6992831541218638
NE=50,0.6473118279569892,0.670199692780338,0.6767025089605735,0.6928315412186381
NE=100,0.6699948796722991,0.6831029185867895,0.6991295442908345,0.6799795186891961
NE=200,0.6668714797747055,0.6991295442908346,0.6927803379416282,0.6895033282130056
NE=400,0.6798259088581668,0.6831541218637993,0.6863799283154123,0.6927291346646186
NE=800,0.689605734767025,0.6767025089605735,0.6734767025089605,0.6638504864311316
NE=1600,0.6960573476702508,0.6702508960573477,0.6766513056835637,0.654121863799283
NE=3200,0.6767537122375833,0.670199692780338,0.660573476702509,0.6477726574500767
