iter	MultiClass
0	0.9724006411
1	0.8874292591
2	0.8301260567
3	0.7674979386
4	0.7221813049
5	0.6846752769
6	0.6504544658
7	0.6167993901
8	0.5920032191
9	0.5717374894
10	0.5521157362
11	0.5294583069
12	0.5126110782
13	0.4984744601
14	0.4811424826
15	0.4671294807
16	0.4564550985
17	0.4434574572
18	0.4330425581
19	0.4195803919
20	0.4095159625
21	0.4020337551
22	0.3888437096
23	0.3819922836
24	0.3734276216
25	0.3629133677
26	0.353007087
27	0.3425618011
28	0.3334715248
29	0.3254263654
30	0.3162808777
31	0.3111560819
32	0.3034561855
33	0.2930310311
34	0.2888059171
35	0.2810160736
36	0.2721805842
37	0.2651228015
38	0.258556745
39	0.2517613306
40	0.2471076801
41	0.2426544842
42	0.2379788746
43	0.232409433
44	0.22899093
45	0.2247920187
46	0.2201872003
47	0.2176237687
48	0.214267554
49	0.209920319
50	0.2073066517
51	0.2026447516
52	0.1992206738
53	0.1954195878
54	0.1931526985
55	0.1904061654
56	0.1863300572
57	0.1850528761
58	0.1839619483
59	0.1796360017
60	0.1766440474
61	0.173019969
62	0.1698454385
63	0.1670123422
64	0.1637840488
65	0.1601529254
66	0.1574335699
67	0.1554424332
68	0.1539808255
69	0.1531079664
70	0.1509154915
71	0.1488857771
72	0.146964514
73	0.14482283
74	0.1421784613
75	0.1400696687
76	0.1377201185
77	0.1352260698
78	0.1332961523
79	0.1323997071
80	0.1313878792
81	0.1303730792
82	0.1277596558
83	0.1254776669
84	0.124677399
85	0.1236352927
86	0.1223556185
87	0.1206180975
88	0.119556146
89	0.1179251222
90	0.1171755833
91	0.1161074508
92	0.115201245
93	0.11360069
94	0.1116247725
95	0.11046961
96	0.1092793399
97	0.1078669242
98	0.1069014878
99	0.1049981103
100	0.1036720805
101	0.1027537984
102	0.1009622834
103	0.1003692901
104	0.09906603625
105	0.0981969189
106	0.09734480857
107	0.09627474184
108	0.09513923901
109	0.09425230134
110	0.09346182786
111	0.09266912099
112	0.09182011977
113	0.09078560648
114	0.08959883709
115	0.08898036982
116	0.08798607101
117	0.08712220618
118	0.08658321966
119	0.08602488513
120	0.08463364491
121	0.08414460344
122	0.08366917775
123	0.08258404024
124	0.08216948124
125	0.08149848819
126	0.08063422301
127	0.07965005143
128	0.07882752082
129	0.07810367078
130	0.0775333107
131	0.07676269981
132	0.07585589236
133	0.07496570898
134	0.07438169749
135	0.07353357538
136	0.07284288068
137	0.07236399831
138	0.07143322711
139	0.07054991062
140	0.06992314192
141	0.06946185694
142	0.06901455739
143	0.06835778966
144	0.06772556441
145	0.06725879342
146	0.06706745116
147	0.06676523049
148	0.0663010882
149	0.06576070318
150	0.06509790419
151	0.06459565045
152	0.06363499571
153	0.06276503434
154	0.06219402971
155	0.06190293171
156	0.06117949467
157	0.06067616145
158	0.06006823077
159	0.05972419492
160	0.05921316972
161	0.05901634811
162	0.05876010817
163	0.05840566473
164	0.05787486171
165	0.05707599331
166	0.05669646384
167	0.05626146851
168	0.05564739549
169	0.05524659993
170	0.05486838041
171	0.05434699634
172	0.05409266307
173	0.05366466795
174	0.05344413865
175	0.05316086774
176	0.05274327089
177	0.05232248022
178	0.05189927542
179	0.05142230378
180	0.05118560321
181	0.05070462207
182	0.05053657415
183	0.0501585118
184	0.0498647189
185	0.04956132491
186	0.04915851784
187	0.0487657915
188	0.0482430426
189	0.04794731064
190	0.04765553817
191	0.04731858259
192	0.04707890517
193	0.04656267075
194	0.04610632625
195	0.04584535803
196	0.04559148951
197	0.04517495384
198	0.04498446395
199	0.0446809359
200	0.04446546732
201	0.04418621341
202	0.0439087808
203	0.04348277853
204	0.04329401778
205	0.04306477739
206	0.04263838466
207	0.04231806634
208	0.04213406137
209	0.04167838712
210	0.04146209911
211	0.04123683139
212	0.0409526605
213	0.04072258775
214	0.04044604534
215	0.04010628055
216	0.03999287852
217	0.03973308704
218	0.03946968002
219	0.03929043732
220	0.03904974365
221	0.0387918363
222	0.03863288475
