Feature,Weight
numerical__Age,0.23960191320838492
bin__Sex,0.15479108044209378
bin__Spiders,0.0993932897333448
numerical__Alk_Phos,0.0068663400167999905
numerical__Tryglicerides,-0.021128581211172514
numerical__Albumin,-0.03482761862124172
ordinal__Edema,-0.07208078868629239
numerical__SGOT,-0.08383132583509438
numerical__Cholesterol,-0.09218083506916605
bin__Drug,-0.15948801042792804
numerical__Platelets,-0.17034045722755364
bin__Ascites,-0.24747650022569717
numerical__Prothrombin,-0.2543450926681157
ordinal__Stage,-0.2815712595479194
bin__Hepatomegaly,-0.28386476724634657
numerical__Copper,-0.34664919988309084
numerical__Bilirubin,-0.3936668386532936
