Feature,Importance
numerical__Bilirubin,0.144349865644401
numerical__Prothrombin,0.1280108500771461
numerical__Copper,0.10091039185837129
numerical__Age,0.09625915588459395
numerical__Alk_Phos,0.08507670203766977
numerical__Albumin,0.07534557403035606
numerical__SGOT,0.07380161693728451
numerical__Cholesterol,0.06614032823251265
numerical__Tryglicerides,0.05744669933893864
numerical__Platelets,0.0573471178376025
ordinal__Stage,0.029035890875740825
bin__Hepatomegaly,0.022705628271017714
ordinal__Edema,0.01717041836111734
bin__Ascites,0.015394344742275731
bin__Sex,0.01058417162378917
bin__Drug,0.010547966281202971
bin__Spiders,0.009873277965979763
