Feature,Weight
numerical__Albumin,0.19998468915873224
bin__Sex,0.18566446757913405
numerical__Age,0.1753497548569922
numerical__Alk_Phos,0.08638005480628524
bin__Spiders,0.0037935129419186583
bin__Ascites,-0.005774929688560387
numerical__SGOT,-0.0801048527065718
bin__Drug,-0.1056109978332858
numerical__Cholesterol,-0.11491883734498684
numerical__Platelets,-0.15297310287645519
bin__Hepatomegaly,-0.1586401706279203
numerical__Tryglicerides,-0.18612004460636722
ordinal__Edema,-0.21159538739798633
numerical__Copper,-0.22197826804720672
numerical__Prothrombin,-0.2938215083703007
ordinal__Stage,-0.2957062352307951
numerical__Bilirubin,-0.30461730451791447
