Feature,Importance
numerical__Age,0.13993995970715464
numerical__Bilirubin,0.11737235181336361
numerical__Prothrombin,0.09279998812070353
numerical__Alk_Phos,0.09112855784051002
numerical__Copper,0.0892518486490353
numerical__SGOT,0.0776538483574084
bin__Hepatomegaly,0.07030780730523105
numerical__Platelets,0.05865523340622315
ordinal__Stage,0.050498078856826153
numerical__Tryglicerides,0.04284909018822419
numerical__Albumin,0.035835387017359326
numerical__Cholesterol,0.03442941411316906
bin__Sex,0.026363751223415933
bin__Drug,0.021692313373023114
bin__Spiders,0.021604085714427963
ordinal__Edema,0.020929236388526874
bin__Ascites,0.008689047925397746
