Feature,Weight
onehot__bin__Hepatomegaly_0.0,0.17674108222668466
numerical__numerical__Albumin,0.15326750084928906
onehot__bin__Ascites_0.0,0.11079962236491459
onehot__bin__Spiders_0.0,0.1076004276130909
onehot__bin__Sex_1.0,0.06970318857449577
numerical__numerical__Age,0.02383830387258605
numerical__numerical__Platelets,0.018496691534903697
onehot__bin__Drug_1.0,0.0012510443505760937
onehot__bin__Drug_0.0,-0.0012510443505760937
numerical__numerical__Alk_Phos,-0.06583607179089095
onehot__bin__Sex_0.0,-0.0697031885744957
numerical__numerical__Cholesterol,-0.074402505182573
numerical__numerical__Tryglicerides,-0.1023697254272374
onehot__bin__Spiders_1.0,-0.10760042761309094
onehot__bin__Ascites_1.0,-0.11079962236491459
numerical__numerical__SGOT,-0.12082396071171908
ordinal__ordinal__Edema,-0.13853291478121507
numerical__numerical__Prothrombin,-0.17457796653732965
onehot__bin__Hepatomegaly_1.0,-0.17674108222668466
numerical__numerical__Bilirubin,-0.1808324947283292
ordinal__ordinal__Stage,-0.18719284371099587
numerical__numerical__Copper,-0.19211357447379063
