Feature,Importance
numerical__Bilirubin,0.17534109700024805
numerical__Prothrombin,0.13434800548703116
numerical__Copper,0.1209612447429426
numerical__Age,0.08569544759421223
numerical__Alk_Phos,0.07699380318884687
numerical__Cholesterol,0.07436225113107145
numerical__Albumin,0.06131138216679856
numerical__Platelets,0.06121293558625823
numerical__SGOT,0.059502839553434286
numerical__Tryglicerides,0.04944548726540495
ordinal__Stage,0.02699857169851742
bin__Hepatomegaly,0.021968406707845292
bin__Ascites,0.015375756480160402
bin__Sex,0.010853506559789465
ordinal__Edema,0.009853458299775636
bin__Drug,0.008689387259276904
bin__Spiders,0.0070864192783865
