Feature,Weight
bin__Sex,0.22552596319687912
numerical__Age,0.12206549982198557
numerical__Alk_Phos,0.09967783724567587
bin__Spiders,0.04285142192279349
ordinal__Edema,0.0049622685966116895
numerical__Albumin,-0.029632593404421016
numerical__Tryglicerides,-0.14168595011403867
numerical__Cholesterol,-0.1425922237925639
bin__Drug,-0.18393942028625956
bin__Hepatomegaly,-0.19283446206937105
numerical__Prothrombin,-0.1947911065509298
numerical__Platelets,-0.2378001165092388
bin__Ascites,-0.2419932405011826
numerical__Copper,-0.251765133825617
numerical__SGOT,-0.2607905898943442
ordinal__Stage,-0.32606691797156306
numerical__Bilirubin,-0.39865011010825313
