Feature,Importance
numerical__Bilirubin,0.1746772619029107
numerical__Copper,0.11840184229571575
numerical__Prothrombin,0.10206707528766949
numerical__Albumin,0.0777087192341587
numerical__Age,0.07632079260281158
numerical__Alk_Phos,0.07425448445887525
numerical__SGOT,0.07142087448046221
numerical__Cholesterol,0.06980411451015614
numerical__Platelets,0.064617724330681
numerical__Tryglicerides,0.055772024430741564
bin__Ascites,0.02154978740227004
bin__Sex,0.02033759195821471
ordinal__Stage,0.02006608641700192
ordinal__Edema,0.0189766226827077
bin__Hepatomegaly,0.017198916637203493
bin__Drug,0.010114054844801913
bin__Spiders,0.006712026523617874
