Feature,Importance
numerical__Bilirubin,0.16834369807482635
numerical__Copper,0.12139426513441147
numerical__SGOT,0.10877949070760703
numerical__Prothrombin,0.09306284525942707
numerical__Albumin,0.07688154983377184
numerical__Cholesterol,0.07223667104944198
numerical__Alk_Phos,0.06777309518167511
numerical__Platelets,0.060522907129548865
numerical__Tryglicerides,0.05701342808827318
numerical__Age,0.056454592608437056
ordinal__Stage,0.03273460135321817
ordinal__Edema,0.02211499106662111
bin__Hepatomegaly,0.01868362895086527
bin__Sex,0.014298554034449575
bin__Drug,0.010481313233777276
bin__Ascites,0.010028003648714675
bin__Spiders,0.009196364644934018
