Feature,Weight
onehot__bin__Hepatomegaly_0.0,0.21086864394779614
onehot__bin__Spiders_0.0,0.11729867913135199
numerical__numerical__Albumin,0.10895411143826428
onehot__bin__Ascites_0.0,0.09036029318595652
onehot__bin__Sex_1.0,0.07499574638169679
numerical__numerical__Age,0.05164200065246627
numerical__numerical__Platelets,0.003301821361910251
onehot__bin__Drug_0.0,0.00040579777518119815
onehot__bin__Drug_1.0,-0.00040579777518119815
numerical__numerical__Alk_Phos,-0.04996196502334493
onehot__bin__Sex_0.0,-0.07499574638169675
numerical__numerical__Tryglicerides,-0.08052963969339158
onehot__bin__Ascites_1.0,-0.09036029318595652
numerical__numerical__Cholesterol,-0.10090767846618874
onehot__bin__Spiders_1.0,-0.11729867913135199
ordinal__ordinal__Edema,-0.13120021309802937
numerical__numerical__Prothrombin,-0.13797956480186016
numerical__numerical__SGOT,-0.1496427874194459
numerical__numerical__Copper,-0.1665733652174555
numerical__numerical__Bilirubin,-0.17717153373129851
ordinal__ordinal__Stage,-0.19553897498520031
onehot__bin__Hepatomegaly_1.0,-0.21086864394779614
