Feature,Importance
numerical__Bilirubin,0.1694763835770417
numerical__Prothrombin,0.13560555556940126
numerical__Copper,0.1109703845571756
numerical__SGOT,0.09251690820172255
numerical__Albumin,0.07421974703655349
numerical__Cholesterol,0.07271935213320702
numerical__Alk_Phos,0.06314498933833702
numerical__Platelets,0.06027099933337326
numerical__Tryglicerides,0.05758811945730492
numerical__Age,0.055759919409279164
ordinal__Edema,0.023470591502385018
bin__Ascites,0.02170220111165901
bin__Sex,0.01879243360565704
ordinal__Stage,0.017440731159906683
bin__Hepatomegaly,0.013602788611187935
bin__Drug,0.006880348946581969
bin__Spiders,0.005838546449226366
