Feature,Weight
numerical__Age,0.16413629893327653
bin__Spiders,0.09349747564025435
bin__Sex,0.09239369117488488
numerical__Albumin,-0.0119808415567466
ordinal__Edema,-0.0830076997398882
numerical__Prothrombin,-0.1443957302658408
numerical__Tryglicerides,-0.1572009912795569
bin__Drug,-0.17549162864050563
ordinal__Stage,-0.18471701733528048
numerical__Bilirubin,-0.18736231574595635
numerical__Platelets,-0.19747705980167868
numerical__Cholesterol,-0.24396240623270635
numerical__SGOT,-0.28098799462611124
bin__Ascites,-0.3178875116238487
bin__Hepatomegaly,-0.3888957869053207
numerical__Copper,-0.49495360495232904
