Feature,Importance
numerical__Age,0.17048591229570062
numerical__Bilirubin,0.16431892527483838
numerical__Prothrombin,0.0806014384279341
numerical__Platelets,0.08027270606842062
numerical__SGOT,0.07508647273534579
numerical__Copper,0.06251737870519583
numerical__Cholesterol,0.05865912991345913
numerical__Alk_Phos,0.050046508062008874
bin__Hepatomegaly,0.049043731579526864
ordinal__Stage,0.04519252075162257
numerical__Tryglicerides,0.04024662730186772
numerical__Albumin,0.035673193313635235
bin__Sex,0.026220299869696387
bin__Drug,0.023345651004679453
bin__Spiders,0.015087850810842126
bin__Ascites,0.01384401348251394
ordinal__Edema,0.009357640402712435
