Feature,Importance
numerical__Bilirubin,0.15109040897076656
numerical__Prothrombin,0.12471145555728431
numerical__Copper,0.110501890900197
numerical__Age,0.09068311767434062
numerical__Albumin,0.08924759513619795
numerical__Cholesterol,0.07924013425861862
numerical__Alk_Phos,0.07628892790020857
numerical__SGOT,0.0706644275288614
numerical__Tryglicerides,0.060174581691603925
numerical__Platelets,0.04772208631995407
bin__Hepatomegaly,0.02210166653836449
bin__Ascites,0.01740381393297118
ordinal__Edema,0.01682281912306986
ordinal__Stage,0.015115283374142467
bin__Sex,0.011682440078916593
bin__Drug,0.010359780308572831
bin__Spiders,0.0061895707059295224
