Feature,Importance
numerical__Bilirubin,0.1609171357192535
numerical__Prothrombin,0.13050304874304317
numerical__Copper,0.10368824642414094
numerical__SGOT,0.0936316108206312
numerical__Age,0.07358627555812092
numerical__Cholesterol,0.0704837780226272
numerical__Alk_Phos,0.06776640459185823
numerical__Albumin,0.06361586726466281
numerical__Tryglicerides,0.0595235163450488
numerical__Platelets,0.05544050502678286
ordinal__Edema,0.02430492811988321
ordinal__Stage,0.023754181402536278
bin__Ascites,0.02230058135013245
bin__Hepatomegaly,0.01891968269940181
bin__Sex,0.01760331705638628
bin__Drug,0.008468412317847446
bin__Spiders,0.005492508537642766
