Feature,Importance
numerical__Copper,0.15292009638411025
numerical__Bilirubin,0.15019391023429401
numerical__Prothrombin,0.13717660899357542
numerical__Age,0.09560782891429878
numerical__SGOT,0.07971421838667192
numerical__Albumin,0.07602945310980645
numerical__Alk_Phos,0.06940711231098783
numerical__Cholesterol,0.05906260198301292
numerical__Tryglicerides,0.05138298001605768
numerical__Platelets,0.046775969246803294
bin__Hepatomegaly,0.028937316319597926
ordinal__Stage,0.01915535174256007
bin__Ascites,0.010282537306892605
ordinal__Edema,0.006927452365179635
bin__Spiders,0.006881216454210473
bin__Drug,0.00632968611239401
bin__Sex,0.003215660119546731
