Feature,Importance
numerical__Age,0.1779611407263861
numerical__Bilirubin,0.1308928772940683
numerical__Prothrombin,0.10744033223990464
numerical__Copper,0.08212242107055873
numerical__SGOT,0.07010495794366803
numerical__Albumin,0.06327591654804031
numerical__Alk_Phos,0.06038989778223651
numerical__Cholesterol,0.05383742075486669
numerical__Tryglicerides,0.04973385645279216
bin__Hepatomegaly,0.048550908567010984
numerical__Platelets,0.04830018892650753
ordinal__Stage,0.042047397931809
bin__Spiders,0.023690806979353055
bin__Drug,0.023447843569991696
ordinal__Edema,0.008240985848165521
bin__Sex,0.005649192937496085
bin__Ascites,0.0043138544271447395
