Feature,Importance
numerical__Bilirubin,0.15910444792933887
numerical__Prothrombin,0.1349822688054345
numerical__Copper,0.11256032950665505
numerical__Alk_Phos,0.07987932299102098
numerical__SGOT,0.07651771798608994
numerical__Age,0.06903020894776941
numerical__Platelets,0.06876174957327512
numerical__Albumin,0.05974151593131933
numerical__Cholesterol,0.055576759736794566
numerical__Tryglicerides,0.04883750789483621
bin__Hepatomegaly,0.044689863060984915
ordinal__Stage,0.023396234394534955
bin__Ascites,0.021890877948580266
ordinal__Edema,0.018165594780387134
bin__Sex,0.011699605875284432
bin__Drug,0.00963542627579545
bin__Spiders,0.005530568361898826
