Feature,Importance
numerical__Bilirubin,0.15204290474094612
numerical__Copper,0.14479837632748516
numerical__Prothrombin,0.11619341868871476
numerical__SGOT,0.09381961719017516
numerical__Albumin,0.0839844506188387
numerical__Alk_Phos,0.07873663985860108
numerical__Age,0.06722494374017908
numerical__Cholesterol,0.059797734546329744
numerical__Platelets,0.04918471967717664
numerical__Tryglicerides,0.04365978506838373
bin__Hepatomegaly,0.019758793908666153
ordinal__Stage,0.019690332275910282
ordinal__Edema,0.019222973670548343
bin__Ascites,0.018909027139036687
bin__Sex,0.013186548469427803
bin__Drug,0.01012520832028092
bin__Spiders,0.00966452575929964
