Feature,Weight
numerical__numerical__Age,0.4188081630625959
ordinal__ordinal__Edema,0.24566254402102683
onehot__bin__Ascites_0.0,0.22381267538430089
numerical__numerical__Alk_Phos,0.19993356566220044
onehot__bin__Hepatomegaly_0.0,0.14664849461544838
numerical__numerical__Albumin,0.12024728157204348
onehot__bin__Spiders_1.0,0.07974754045760238
onehot__bin__Sex_1.0,0.03151292237171466
onehot__bin__Drug_0.0,0.023270004545807226
onehot__bin__Drug_1.0,-0.023270004545807115
onehot__bin__Sex_0.0,-0.03151292237171458
numerical__numerical__SGOT,-0.06454924505238407
onehot__bin__Spiders_0.0,-0.0797475404576024
onehot__bin__Hepatomegaly_1.0,-0.14664849461544838
onehot__bin__Ascites_1.0,-0.22381267538430089
numerical__numerical__Prothrombin,-0.22889936309787096
numerical__numerical__Cholesterol,-0.23154783328871312
numerical__numerical__Platelets,-0.272693592601475
numerical__numerical__Tryglicerides,-0.2860254246960147
ordinal__ordinal__Stage,-0.41610950947961617
numerical__numerical__Copper,-0.5466181363063183
numerical__numerical__Bilirubin,-0.803420931604033
