Feature,Importance
numerical__Bilirubin,0.1587594591770235
numerical__Copper,0.12451900123430931
numerical__Prothrombin,0.09489159294773752
numerical__Cholesterol,0.08125156443276751
numerical__Age,0.07999223074797603
numerical__SGOT,0.079233787830813
numerical__Platelets,0.07264401432201004
numerical__Alk_Phos,0.0655435775287316
numerical__Tryglicerides,0.06497973562667976
numerical__Albumin,0.05210244300258975
ordinal__Stage,0.03305982727091141
bin__Hepatomegaly,0.022352445127820867
ordinal__Edema,0.01933900100130647
bin__Ascites,0.016371322620965318
bin__Drug,0.01245116948638862
bin__Spiders,0.011542418072072293
bin__Sex,0.010966409569896996
