Feature,Weight
onehot__bin__Hepatomegaly_0.0,0.2054598428006086
numerical__numerical__Albumin,0.11786289141783378
onehot__bin__Ascites_0.0,0.1090495259777173
onehot__bin__Spiders_0.0,0.0975880847846102
onehot__bin__Sex_1.0,0.0641723314695704
numerical__numerical__Platelets,0.028007575714033003
onehot__bin__Drug_0.0,0.009848613054957385
numerical__numerical__Age,-0.0018864612463875105
onehot__bin__Drug_1.0,-0.009848613054957366
numerical__numerical__Alk_Phos,-0.051152141346045774
onehot__bin__Sex_0.0,-0.06417233146957044
numerical__numerical__Tryglicerides,-0.0927647759149733
onehot__bin__Spiders_1.0,-0.09758808478461024
onehot__bin__Ascites_1.0,-0.10904952597771733
numerical__numerical__Cholesterol,-0.11205082293134634
numerical__numerical__Prothrombin,-0.11446140372293938
ordinal__ordinal__Edema,-0.11567698786064921
numerical__numerical__SGOT,-0.1630510350238013
numerical__numerical__Bilirubin,-0.17007322737833558
numerical__numerical__Copper,-0.18000303875243073
onehot__bin__Hepatomegaly_1.0,-0.2054598428006086
ordinal__ordinal__Stage,-0.23019228172501013
