Feature,Weight
bin__Sex,0.20611574575146016
ordinal__Edema,0.12028246355092954
numerical__Alk_Phos,0.04315947775578091
bin__Spiders,0.011017589732317229
numerical__Age,0.009037393271292063
numerical__Albumin,-0.017712325892970213
numerical__Cholesterol,-0.05212443321114732
bin__Drug,-0.06062535190013496
numerical__Tryglicerides,-0.06555267891818711
numerical__SGOT,-0.07568434246769584
numerical__Platelets,-0.07981458179639724
bin__Hepatomegaly,-0.13818126880196885
numerical__Prothrombin,-0.14050035378571996
ordinal__Stage,-0.15389239546180344
numerical__Copper,-0.4220925399581298
bin__Ascites,-0.5635044207419267
numerical__Bilirubin,-0.8178086774493631
