Feature,Importance
numerical__Copper,0.14561874725075258
numerical__Bilirubin,0.1299028472529479
numerical__Prothrombin,0.11721485534508587
numerical__SGOT,0.08060400386522498
numerical__Albumin,0.0760880393743865
numerical__Alk_Phos,0.07465345089746386
numerical__Age,0.06758039629949046
numerical__Platelets,0.0657729834261861
numerical__Cholesterol,0.05509624853165788
numerical__Tryglicerides,0.052989007929222474
ordinal__Edema,0.03692891906707849
ordinal__Stage,0.026926753594778315
bin__Hepatomegaly,0.019137872710232717
bin__Ascites,0.01824997886389442
bin__Sex,0.012884614947037886
bin__Drug,0.011134364450212004
bin__Spiders,0.009216916194347481
